last-update-time,last-trading-date,symbol,current-trading-session,change-abs,change-percentage,session-open-abs,session-traded-high-abs,session-traded-low-abs,last-traded-price-abs,daily-settlement-price-abs,total-volume,open-interest
2022-10-13 10:59:49.0,2022-10-27,TWNV22,T,17.25,-1.5032679738562091,1146.25,1148.25,1128.5,1130.25,,23848.0,92565.0
2022-10-13 06:16:10.0,2022-10-27,TWNV22,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2022-10-27,TWNV22_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2022-10-27,TWNV22_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 10:59:47.0,2022-11-28,TWNX22,T,18.25,-1.5879921688057428,1146.5,1146.5,1129.0,1131.0,,34.0,547.0
2022-10-13 06:16:10.0,2022-11-28,TWNX22,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2022-11-28,TWNX22_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2022-11-28,TWNX22_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 10:59:47.0,2022-12-28,TWNZ22,T,22.25,-1.9364664926022628,1126.75,1126.75,1126.75,1126.75,,1.0,64.0
2022-10-13 06:16:10.0,2022-12-28,TWNZ22,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2022-12-28,TWNZ22_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2022-12-28,TWNZ22_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 10:59:47.0,2023-03-29,TWNH23,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2023-03-29,TWNH23,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2023-03-29,TWNH23_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2023-03-29,TWNH23_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 08:49:05.0,2023-06-28,TWNM23,T,,,,,,,,0.0,2.0
2022-10-13 06:16:10.0,2023-06-28,TWNM23,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2023-06-28,TWNM23_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2023-06-28,TWNM23_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 08:49:07.0,2023-09-26,TWNU23,T,,,,,,,,0.0,2.0
2022-10-13 06:16:10.0,2023-09-26,TWNU23,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2023-09-26,TWNU23_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2023-09-26,TWNU23_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 08:49:14.0,2023-12-27,TWNZ23,T,,,,,,,,0.0,2.0
2022-10-13 06:16:10.0,2023-12-27,TWNZ23,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2023-12-27,TWNZ23_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2023-12-27,TWNZ23_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2024-03-27,TWNH24,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2024-03-27,TWNH24,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2024-03-27,TWNH24_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2024-03-27,TWNH24_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2024-06-26,TWNM24,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2024-06-26,TWNM24,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2024-06-26,TWNM24_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2024-06-26,TWNM24_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2024-09-26,TWNU24,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2024-09-26,TWNU24,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2024-09-26,TWNU24_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2024-09-26,TWNU24_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2024-12-29,TWNZ24,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2024-12-29,TWNZ24,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2024-12-29,TWNZ24_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2024-12-29,TWNZ24_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2025-03-27,TWNH25,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2025-03-27,TWNH25,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2025-03-27,TWNH25_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2025-03-27,TWNH25_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2025-06-26,TWNM25,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2025-06-26,TWNM25,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2025-06-26,TWNM25_TAIC,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2025-06-26,TWNM25_TAIC,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2025-09-28,TWNU25,T,,,,,,,,0.0,0.0
2022-10-13 06:16:10.0,2025-09-28,TWNU25,T+1,,,,,,,,0.0,0.0
2022-10-13 06:16:13.0,2025-09-28,TWNU25_TAIC,T,,,,,,,,0.0,0.0
