本週,上週,片名,上映日期,預告片,網友滿意度
1,1,幸福入場券,2022-10-07,預告片,4.4
2,2,微笑,2022-09-30,預告片,4
3,3,樂透大作戰,2022-09-30,預告片,4.3
4,,月光光新慌慌：萬聖結,2022-10-14,預告片,3.2
5,4,阿姆斯特丹,2022-10-07,預告片,2.6
6,12,捍衛戰士: 獨行俠,2022-05-25,預告片,4.8
7,5,沼澤謀殺案,2022-10-07,預告片,3.9
8,8,童話．世界,2022-10-07,預告片,4.1
9,,天劫高手,2022-10-14,預告片,4.7
10,,人生真美麗,2022-10-14,預告片,4.6
11,,你在我心上,2022-10-21,預告片,4.7
12,,航海王劇場版 : 紅髮歌姬,2022-08-19,預告片,4.1
13,,驚爆倒數60分鐘,2022-10-14,預告片,4.2
14,,繼園臺七號《芳華虛度影展》,未定,預告片,0
15,,以你的名字呼喚我《經典重映》,2022-10-14,,2.6
16,18,電影版 搖曳露營△,2022-09-16,預告片,4.5
17,7,行動代號：狼狩獵,2022-09-30,預告片,3.9
18,,極速甩尾,2022-10-14,預告片,4.5
19,11,破案天才伽利略：沉默的遊行,2022-09-23,預告片,4.1
20,,劇場版 超時空要塞F~戀離飛翼~,2022-10-14,預告片,4.7
