排名,名稱,網址,圖片,價格
1,妖幻三重奏 9 (首刷限定版),https://www.books.com.tw/products/0010936270?loc=P_0004_001,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/62/0010936270.jpg&v=6322feabk&w=150&h=150,優惠價：95折124元
2,【午茶夫人】紅棗國寶茶-12入/袋,https://www.books.com.tw/products/N000880329?loc=P_0004_002,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/088/03/N000880329.jpg&v=62ac2c11k&w=150&h=150,優惠價：250元
3,泰勒絲 / 午夜 (月石藍 歐洲原裝口版),https://www.books.com.tw/products/0020228941?loc=P_0004_003,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/022/89/0020228941.jpg&v=634ccf08k&w=150&h=150,優惠價：438元
4,月刊少女野崎同學(13)限定版,https://www.books.com.tw/products/0010938529?loc=P_0004_004,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/85/0010938529.jpg&v=63454636k&w=150&h=150,優惠價：79折315元
5,狗狗身體求救訊號全圖解（附有聲內容音檔下載QR碼+狗狗照顧速查手冊）：權威獸醫師及專家教你從五官異常到行為出現改變，深入瞭解找出毛孩生病原因，早發現、早治療、提早預防！,https://www.books.com.tw/products/0010937463?loc=P_0004_005,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/74/0010937463.jpg&v=6332d0e2k&w=150&h=150,優惠價：79折356元
6,【午茶夫人】荔枝風味紅茶-10入/袋,https://www.books.com.tw/products/N001411095?loc=P_0004_006,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/141/10/N001411095.jpg&v=62ac2f94k&w=150&h=150,優惠價：138元
7,【OMORY】防油防污方格桌巾/桌布137x180cm- 奶茶杏,https://www.books.com.tw/products/N001481528?loc=P_0004_007,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/148/15/N001481528.jpg&v=6319a31ck&w=150&h=150,優惠價：82折163元
8,林務局2023「小千之森」月曆,https://www.books.com.tw/products/0010938024?loc=P_0004_008,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/80/0010938024.jpg&v=633c0b35k&w=150&h=150,優惠價：9折270元
9,【MUJI 無印良品】黃麻購物袋A4,https://www.books.com.tw/products/N001487699?loc=P_0004_009,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/148/76/N001487699.jpg&v=63240f7dk&w=150&h=150,優惠價：69元
10,記得我的名字(作者親簽版),https://www.books.com.tw/products/0010938375?loc=P_0004_010,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/83/0010938375.jpg&v=63469779k&w=150&h=150,優惠價：79折284元
11,致富心態：關於財富、貪婪與幸福的20堂理財課,https://www.books.com.tw/products/0010882259?loc=P_0004_011,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/22/0010882259.jpg&v=6022644bk&w=150&h=150,優惠價：66折297元
12,【Dalli德國達麗】護色去污旋風洗衣膠囊(24球袋裝/補充包),https://www.books.com.tw/products/N001311473?loc=P_0004_012,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/131/14/N001311473.jpg&v=61aee401k&w=150&h=150,優惠價：229元
13,學校沒教的人生必修課：中西大師教你認識自己、自我諮商，獲致心靈財富的密碼，迎向自我實現的人生,https://www.books.com.tw/products/0010934048?loc=P_0004_013,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/40/0010934048.jpg&v=6302edc7k&w=150&h=150,優惠價：9折225元
14,另我效應：用你的祕密人格，達到最高成就 (電子書),https://www.books.com.tw/products/E050114354?loc=P_0004_014,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/E05/011/43/E050114354.jpg&v=619b0594k&w=150&h=150,優惠價：66元
15,大局：傳奇台商征戰紐約40年的江湖撇步,https://www.books.com.tw/products/0010935869?loc=P_0004_015,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/58/0010935869.jpg&v=631f0a39k&w=150&h=150,優惠價：79折316元
16,終結拖延，擺脫焦慮，無論誰都給你高評價的「時間控」：全面提升「時間價值」！花最少力氣取最大成果，不再累到死又被嫌到死 (電子書),https://www.books.com.tw/products/E050122644?loc=P_0004_016,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/E05/012/26/E050122644.jpg&v=620f3e50k&w=150&h=150,優惠價：66元
17,【唯蜜色】銀離子無痕內褲 膚色,https://www.books.com.tw/products/N001441854?loc=P_0004_017,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/144/18/N001441854.jpg&v=629f42ack&w=150&h=150,優惠價：150元
18,【湛盧咖啡】經典獨家．綜合風味 手沖精品濾掛式咖啡 (10入/盒) 綜合風味,https://www.books.com.tw/products/N001119173?loc=P_0004_018,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/111/91/N001119173.jpg&v=5dc54b65k&w=150&h=150,優惠價：245元
19,緒川千世漫迷手冊 ーflowー 全 (首刷附錄版),https://www.books.com.tw/products/0010929657?loc=P_0004_019,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/96/0010929657.jpg&v=62c412cek&w=150&h=150,優惠價：85折289元
20,成功的敏捷產品管理：打造暢銷產品的祕訣,https://www.books.com.tw/products/0010937907?loc=P_0004_020,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/79/0010937907.jpg&v=633aba52k&w=150&h=150,優惠價：78折507元
21,【統一生機】甘栗 150g/包,https://www.books.com.tw/products/N001244583?loc=P_0004_021,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/124/45/N001244583.jpg&v=5fa9f640k&w=150&h=150,優惠價：69元
22,七感遊戲玩出七大能力：56個遊戲提案X 84種提升能力的方法X 105種設計遊戲技巧，玩出無限可能！,https://www.books.com.tw/products/0010935786?loc=P_0004_022,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/57/0010935786.jpg&v=6319c463k&w=150&h=150,優惠價：79折356元
23,和林佳龍一起去旅行：那些走讀、療癒、愛戀山海的光合之旅,https://www.books.com.tw/products/0010937899?loc=P_0004_023,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/78/0010937899.jpg&v=633e5a7ek&w=150&h=150,優惠價：79折300元
24,【康寧CORNINGWARE 】韓國製H2O陶瓷不沾微壓力鍋-24cm(含蓋)壓力鍋,https://www.books.com.tw/products/N001450223?loc=P_0004_024,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/145/02/N001450223.jpg&v=62be9030k&w=150&h=150,優惠價：999元
25,讓每個決定，成為最好的安排：四寶媽白家綺的五味人生,https://www.books.com.tw/products/0010935771?loc=P_0004_025,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/57/0010935771.jpg&v=6319c459k&w=150&h=150,優惠價：79折332元
26,[MUJI 無印良品]棉棒(補充用)/200支,https://www.books.com.tw/products/N000054437?loc=P_0004_026,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/005/44/N000054437.jpg&v=6125f4ffk&w=150&h=150,優惠價：39元
27,鄭家純 十週年紀念寫真「28純熟」硬殼精裝寫真書 一般版,https://www.books.com.tw/products/R030091415?loc=P_0004_027,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/R03/009/14/R030091415.jpg&v=63219111k&w=150&h=150,優惠價：1299元
28,NS Switch 勇者鬥惡龍 尋寶探險團：藍色眼眸與天空羅盤-中文版,https://www.books.com.tw/products/N001494461?loc=P_0004_028,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/149/44/N001494461.jpg&v=63369829k&w=150&h=150,優惠價：1790元
29,【靜思書軒】淨斯本草飲(盒裝14g*12入),https://www.books.com.tw/products/N001445364?loc=P_0004_029,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/144/53/N001445364.jpg&v=62afdfe1k&w=150&h=150,優惠價：468元
30,林務局2023「小千之森」桌曆,https://www.books.com.tw/products/0010938025?loc=P_0004_030,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/80/0010938025.jpg&v=633c0b35k&w=150&h=150,優惠價：9折270元
31,逆思維：華頓商學院最具影響力的教授，突破人生盲點的全局思考【博客來獨家書封版】,https://www.books.com.tw/products/0010928119?loc=P_0004_031,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/81/0010928119.jpg&v=62b1abbbk&w=150&h=150,優惠價：79折332元
32,【午茶夫人】極纖美妍飲-15入/袋,https://www.books.com.tw/products/N000989856?loc=P_0004_032,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/098/98/N000989856.jpg&v=62ac2c11k&w=150&h=150,優惠價：398元
33,【午茶夫人】洋甘菊舒壓茶-10入/袋,https://www.books.com.tw/products/N001247249?loc=P_0004_033,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/124/72/N001247249.jpg&v=62ac2cc5k&w=150&h=150,優惠價：250元
34,【Timo】莫蘭迪色系 迷你防曬遮陽折疊晴雨傘- 蔚藍色,https://www.books.com.tw/products/N001417121?loc=P_0004_034,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/141/71/N001417121.jpg&v=6255528dk&w=150&h=150,優惠價：390元
35,李施德霖柚戀百香漱口水500ml,https://www.books.com.tw/products/N001394713?loc=P_0004_035,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/139/47/N001394713.jpg&v=61dd4716k&w=150&h=150,優惠價：169元
36,AKB48 Team TP / 無根無據RUMOR (B盤),https://www.books.com.tw/products/0020228340?loc=P_0004_036,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/022/83/0020228340.jpg&v=63202908k&w=150&h=150,優惠價：378元
37,(電子票) 星巴克 電子飲料券$100【受託代銷】,https://www.books.com.tw/products/N012898607?loc=P_0004_037,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N01/289/86/N012898607.jpg&v=62eb3360k&w=150&h=150,優惠價：100元
38,[數位版]貝殼幣140點,https://www.books.com.tw/products/N000995012?loc=P_0004_038,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/099/50/N000995012.jpg&v=5bd7c662k&w=150&h=150,優惠價：100元
39,加速式．子彈學習法則 (電子書),https://www.books.com.tw/products/E050064250?loc=P_0004_039,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/E05/006/42/E050064250.jpg&v=5e537471k&w=150&h=150,優惠價：210元
40,深度溝通力：最紛擾的時代，練就最會說話的自己,https://www.books.com.tw/products/0010814207?loc=P_0004_040,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/081/42/0010814207.jpg&v=5c63f1d3k&w=150&h=150,優惠價：75折270元
