排名,名稱,網址,圖片,價格
1,食萬個不一樣：名醫家吃什麼之一開始就該知道的「防病飲食」！,https://www.books.com.tw/products/0010937950?loc=P_0004_001,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/79/0010937950.jpg&v=633ac814k&w=150&h=150,優惠價：79折315元
2,【午茶夫人】荔枝風味紅茶-10入/袋,https://www.books.com.tw/products/N001411095?loc=P_0004_002,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/141/10/N001411095.jpg&v=62ac2f94k&w=150&h=150,優惠價：138元
3,和林佳龍一起去旅行：那些走讀、療癒、愛戀山海的光合之旅,https://www.books.com.tw/products/0010937899?loc=P_0004_003,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/78/0010937899.jpg&v=633e5a7ek&w=150&h=150,優惠價：79折300元
4,【親筆簽名限量版】勇者系列／第三集：墮落狂魔與炎魔（隨書贈送：親筆簽名小卡一張＋特典版書衣）,https://www.books.com.tw/products/0010938153?loc=P_0004_004,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/81/0010938153.jpg&v=633d5e04k&w=150&h=150,優惠價：79折261元
5,泰勒絲 / 午夜 (月石藍 歐洲原裝口版),https://www.books.com.tw/products/0020228941?loc=P_0004_005,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/022/89/0020228941.jpg&v=634ccf08k&w=150&h=150,優惠價：438元
6,《紅布朗》雙桃果仁(130g/罐),https://www.books.com.tw/products/N000337650?loc=P_0004_006,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/033/76/N000337650.jpg&v=606d7544k&w=150&h=150,優惠價：235元
7,【OMORY】防油防污方格桌巾/桌布137x180cm- 奶茶杏,https://www.books.com.tw/products/N001481528?loc=P_0004_007,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/148/15/N001481528.jpg&v=6319a31ck&w=150&h=150,優惠價：82折163元
8,大局：傳奇台商征戰紐約40年的江湖撇步,https://www.books.com.tw/products/0010935869?loc=P_0004_008,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/58/0010935869.jpg&v=631f0a39k&w=150&h=150,優惠價：79折316元
9,【唯蜜色】銀離子無痕內褲 膚色,https://www.books.com.tw/products/N001441854?loc=P_0004_009,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/144/18/N001441854.jpg&v=629f42ack&w=150&h=150,優惠價：150元
10,李施德霖柚戀百香漱口水500ml,https://www.books.com.tw/products/N001394713?loc=P_0004_010,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/139/47/N001394713.jpg&v=61dd4716k&w=150&h=150,優惠價：169元
11,Alva Oliva艾娃橄欖－ 特級冷壓初榨橄欖油 750ml,https://www.books.com.tw/products/N001194276?loc=P_0004_011,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/119/42/N001194276.jpg&v=5efa9ca0k&w=150&h=150,優惠價：335元
12,林務局2023「小千之森」月曆,https://www.books.com.tw/products/0010938024?loc=P_0004_012,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/80/0010938024.jpg&v=633c0b35k&w=150&h=150,優惠價：9折270元
13,日本TWINBIRD-乾燥烘鞋機(棕色)SD-5500TWBR,https://www.books.com.tw/products/N001196011?loc=P_0004_013,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/119/60/N001196011.jpg&v=620a2821k&w=150&h=150,優惠價：1511元
14,林務局2023「小千之森」桌曆,https://www.books.com.tw/products/0010938025?loc=P_0004_014,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/80/0010938025.jpg&v=633c0b35k&w=150&h=150,優惠價：9折270元
15,兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說,https://www.books.com.tw/products/0010921600?loc=P_0004_015,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/16/0010921600.jpg&v=624d6bc6k&w=150&h=150,優惠價：66折231元
16,Nintendo Switch遊戲軟體《勇者鬥惡龍 尋寶探險團：藍色眼眸與天空羅盤》中文版[台灣公司貨],https://www.books.com.tw/products/N001499071?loc=P_0004_016,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/149/90/N001499071.jpg&v=634542d9k&w=150&h=150,優惠價：1790元
17,福星小子完全版 盒裝套書(10～18冊),https://www.books.com.tw/products/0010938132?loc=P_0004_017,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/81/0010938132.jpg&v=633d5e03k&w=150&h=150,優惠價：3350元
18,【星巴克】濃縮烘焙咖啡膠囊(10顆/盒;Nespresso咖啡機專用),https://www.books.com.tw/products/N001193419?loc=P_0004_018,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/119/34/N001193419.jpg&v=6279d800k&w=150&h=150,優惠價：220元
19,【HIGHTIDE】雙股書本立架W號 ‧ 銀色,https://www.books.com.tw/products/N001264386?loc=P_0004_019,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/126/43/N001264386.jpg&v=60010c3ek&w=150&h=150,優惠價：88折166元
20,【MUJI 無印良品】即食迷你拉麵(柚子鹽風味)/120g,https://www.books.com.tw/products/N001458800?loc=P_0004_020,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/145/88/N001458800.jpg&v=62e0f56dk&w=150&h=150,優惠價：39元
21,【午茶夫人】洋甘菊舒壓茶-10入/袋,https://www.books.com.tw/products/N001247249?loc=P_0004_021,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/124/72/N001247249.jpg&v=62ac2cc5k&w=150&h=150,優惠價：250元
22,禱告時光：精選1. 耶穌愛你．我也愛你,https://www.books.com.tw/products/0010907713?loc=P_0004_022,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/090/77/0010907713.jpg&v=617bcd3bk&w=150&h=150,優惠價：79折174元
23,我們為什麼要讀書？為什麼要工作？【自我探索平裝版】：為了得到幸福，希望你能好好思考這些事（首刷限量加贈日本授權「讀書工作帆布袋」）,https://www.books.com.tw/products/0010937207?loc=P_0004_023,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/72/0010937207.jpg&v=632d8ac8k&w=150&h=150,優惠價：79折458元
24,一路上，有我陪你,https://www.books.com.tw/products/0010552750?loc=P_0004_024,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/055/27/0010552750.jpg&v=4ffffce6k&w=150&h=150,優惠價：5折125元
25,暢銷綜合訂閱_180天,https://www.books.com.tw/products/E090000052?loc=P_0004_025,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/E09/000/00/E090000052.jpg&v=6336528ck&w=150&h=150,優惠價：699元
26,【統一生機】菊花枸杞銀耳露(箱)/ 200ml*12瓶,https://www.books.com.tw/products/N001196785?loc=P_0004_026,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/119/67/N001196785.jpg&v=604598d0k&w=150&h=150,優惠價：315元
27,我想聽的話 (爸媽怎麼說，孩子才會想聽？),https://www.books.com.tw/products/0010922925?loc=P_0004_027,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/29/0010922925.jpg&v=625fe0e4k&w=150&h=150,優惠價：9折252元
28,MILK X 10月號/2022 第194期,https://www.books.com.tw/products/R030089540?loc=P_0004_028,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/R03/008/95/R030089540.jpg&v=6346189ak&w=150&h=150,優惠價：95折179元
29,[戰神 MARS] 水解乳清蛋白 (35g/包) 香蕉,https://www.books.com.tw/products/N012567467?loc=P_0004_029,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N01/256/74/N012567467.jpg&v=6151497ek&w=150&h=150,優惠價：41元
30,黃金神威(27),https://www.books.com.tw/products/0010937590?loc=P_0004_030,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/75/0010937590.jpg&v=633422bfk&w=150&h=150,優惠價：85折119元
31,[戰神 MARS] 水解乳清蛋白 (35g/包) 奶茶,https://www.books.com.tw/products/N012502941?loc=P_0004_031,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N01/250/29/N012502941.jpg&v=613f206dk&w=150&h=150,優惠價：41元
32,學校沒教的人生必修課：中西大師教你認識自己、自我諮商，獲致心靈財富的密碼，迎向自我實現的人生,https://www.books.com.tw/products/0010934048?loc=P_0004_032,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/40/0010934048.jpg&v=6302edc7k&w=150&h=150,優惠價：9折225元
33,[MUJI無印良品]相撲鍋湯底/ 1~2人份.350g,https://www.books.com.tw/products/N001412110?loc=P_0004_033,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/141/21/N001412110.jpg&v=623d351dk&w=150&h=150,優惠價：89元
34,[戰神 MARS] 水解乳清蛋白 (35g/包) 抹茶奶綠,https://www.books.com.tw/products/N012532323?loc=P_0004_034,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N01/253/23/N012532323.jpg&v=61efb2fck&w=150&h=150,優惠價：41元
35,【統一生機】有機大燕麥片 400g,https://www.books.com.tw/products/N001466126?loc=P_0004_035,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/146/61/N001466126.jpg&v=632bd988k&w=150&h=150,優惠價：150元
36,魔道祖師漫畫版 一,https://www.books.com.tw/products/0010903575?loc=P_0004_036,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/090/35/0010903575.jpg&v=615d7aabk&w=150&h=150,優惠價：85折272元
37,[戰神 MARS] 水解乳清蛋白 (35g/包) 哈密瓜牛奶,https://www.books.com.tw/products/N012503440?loc=P_0004_037,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N01/250/34/N012503440.jpg&v=610ced69k&w=150&h=150,優惠價：41元
38,原子習慣：細微改變帶來巨大成就的實證法則,https://www.books.com.tw/products/0010822522?loc=P_0004_038,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/25/0010822522.jpg&v=5cda990ck&w=150&h=150,優惠價：79折261元
39,[戰神 MARS] 水解乳清蛋白 (35g/包) 蜂蜜牛奶,https://www.books.com.tw/products/N012566274?loc=P_0004_039,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N01/256/62/N012566274.jpg&v=614d2f07k&w=150&h=150,優惠價：41元
40,[戰神 MARS] 水解乳清蛋白 (35g/包) 烏龍奶茶,https://www.books.com.tw/products/N012503438?loc=P_0004_040,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N01/250/34/N012503438.jpg&v=613f233ck&w=150&h=150,優惠價：41元
41,為你的不完美喝采,https://www.books.com.tw/products/0010750570?loc=P_0004_041,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/075/05/0010750570.jpg&v=58f5eac4k&w=150&h=150,優惠價：9折180元
42,月刊少女野崎同學(13)限定版,https://www.books.com.tw/products/0010938529?loc=P_0004_042,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/85/0010938529.jpg&v=63454636k&w=150&h=150,優惠價：79折315元
43,全新！新制多益TOEIC口說題庫解析：10回實戰模擬試題，5大題型回答技巧，詳細解題說明，讓你掌握最新出題趨勢（雙書裝+全書音檔下載QR碼）,https://www.books.com.tw/products/0010920478?loc=P_0004_043,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/04/0010920478.jpg&v=6239a566k&w=150&h=150,優惠價：79折379元
44,LOREAL Paris 巴黎萊雅 優媚霜三重護髮染髮霜 172g  1 自然黑,https://www.books.com.tw/products/N001325959?loc=P_0004_044,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/132/59/N001325959.jpg&v=633ea7d4k&w=150&h=150,優惠價：284元
45,【令和】KF94 韓版 醫療級成人立體口罩｜10入/盒  神秘黑,https://www.books.com.tw/products/N001341596?loc=P_0004_045,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/134/15/N001341596.jpg&v=6135d191k&w=150&h=150,優惠價：99元
46,GUM 牙周護理潔齒液500ml,https://www.books.com.tw/products/N000476081?loc=P_0004_046,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/047/60/N000476081.jpg&v=62b043b8k&w=150&h=150,優惠價：249元
47,利捷維 有酵維生素D3錠60錠 1入,https://www.books.com.tw/products/N001236836?loc=P_0004_047,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/123/68/N001236836.jpg&v=62cf7304k&w=150&h=150,優惠價：505元
48,親愛的馬克瑪麗  Re: 是不是每個男人都這樣？ (電子書),https://www.books.com.tw/products/E050142748?loc=P_0004_048,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/E05/014/27/E050142748.jpg&v=632d7595k&w=150&h=150,優惠價：88折234元
49,善存 醫用口罩(未滅菌)(雙鋼印)-成人平面 微風藍(50入/盒),https://www.books.com.tw/products/N001358902?loc=P_0004_049,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/135/89/N001358902.jpg&v=61792490k&w=150&h=150,優惠價：139元
50,AKB48 Team TP / 無根無據RUMOR (A盤),https://www.books.com.tw/products/0020228339?loc=P_0004_050,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/022/83/0020228339.jpg&v=63202908k&w=150&h=150,優惠價：378元
51,【中衛】醫療口罩1盒入(50片/盒)-海芋黃,https://www.books.com.tw/products/N000786245?loc=P_0004_051,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/078/62/N000786245.jpg&v=5efbf8ack&w=150&h=150,優惠價：300元
52,[MUJI 無印良品]棉棒(補充用)/200支,https://www.books.com.tw/products/N000054437?loc=P_0004_052,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/005/44/N000054437.jpg&v=6125f4ffk&w=150&h=150,優惠價：39元
53,其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好,https://www.books.com.tw/products/0010922103?loc=P_0004_053,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/21/0010922103.jpg&v=625eb95bk&w=150&h=150,優惠價：79折300元
54,[MUJI無印良品]自由換芯按壓滑順膠墨筆/藍0.5mm,https://www.books.com.tw/products/N001076503?loc=P_0004_054,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/107/65/N001076503.jpg&v=5d8c6576k&w=150&h=150,優惠價：29元
55,LOREAL Paris 巴黎萊雅 優媚霜三重護髮染髮霜 172g  3 深棕,https://www.books.com.tw/products/N001320080?loc=P_0004_055,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/132/00/N001320080.jpg&v=633ea505k&w=150&h=150,優惠價：284元
56,蠟筆小新 愛藏版 1 (首刷附錄版),https://www.books.com.tw/products/0010935247?loc=P_0004_056,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/52/0010935247.jpg&v=631089ack&w=150&h=150,優惠價：95折190元
57,【EL COMMUN】日本簡約保溫保冷便當提袋 ‧ 玫瑰粉,https://www.books.com.tw/products/N001414233?loc=P_0004_057,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/141/42/N001414233.jpg&v=62450c8fk&w=150&h=150,優惠價：7折368元
58,親愛的馬克瑪麗 Re：是不是每個男人都這樣？,https://www.books.com.tw/products/0010935968?loc=P_0004_058,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/59/0010935968.jpg&v=63205baek&w=150&h=150,優惠價：79折300元
59,[MUJI無印良品]落棉環保抹布/色線/12枚,https://www.books.com.tw/products/N000939341?loc=P_0004_059,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/093/93/N000939341.jpg&v=5b13e86ck&w=150&h=150,優惠價：179元
60,【統一生機】甘栗 150g/包,https://www.books.com.tw/products/N001244583?loc=P_0004_060,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/124/45/N001244583.jpg&v=5fa9f640k&w=150&h=150,優惠價：69元
61,韓國瑜2023桌曆＋藍色應援扇組合【特別版】,https://www.books.com.tw/products/0010938393?loc=P_0004_061,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/83/0010938393.jpg&v=6340000bk&w=150&h=150,優惠價：79折450元
62,【KiKi食品雜貨】椒麻拌麵(5包/袋),https://www.books.com.tw/products/N000850079?loc=P_0004_062,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/085/00/N000850079.jpg&v=5f3ccf59k&w=150&h=150,優惠價：259元
63,日系抗UV手機大小黑膠晴雨傘五折傘  - 粉,https://www.books.com.tw/products/N001284410?loc=P_0004_063,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/128/44/N001284410.jpg&v=6056bc52k&w=150&h=150,優惠價：420元
64,【唯蜜色】銀離子無痕內褲 豆粉,https://www.books.com.tw/products/N001441855?loc=P_0004_064,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/144/18/N001441855.jpg&v=629f42ack&w=150&h=150,優惠價：150元
65,【統一生機】燕麥起司蘇打餅 108g/袋,https://www.books.com.tw/products/N001428034?loc=P_0004_065,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/142/80/N001428034.jpg&v=628755c0k&w=150&h=150,優惠價：66元
