"NO","Name","District","Address","Name_Per","Telephone","twd97X","twd97Y","wgs84aX","wgs84aY"
"5.931015196E9","同盈藥師藥局","板橋區","新北市板橋區溪北路30號1樓","徐志忠","02-86873400","293101.81","2764761.34","121.426967957964","24.9902125620239"
"5.931081467E9","鶯歌藥局","鶯歌區","新北市鶯歌區鶯桃路2段11號1樓","林士詠","02-86778778","282898.46","2762721.22","121.325846168974","24.9720495751163"
"5.931112798E9","益嘉藥局","汐止區","新北市汐止區忠孝東路245號1樓","廖敏成","02-86423527","316874.83","2773421.16","121.662873931029","25.0675291609606"
"5.931151642E9","明月藥局","五股區","新北市五股區工商路89號","黃鉅霖","02-82956028","294150.67","2775279.98","121.437694601127","25.0851454243201"
"5.931151482E9","源昇藥局","五股區","新北市五股區五股里成泰路2段61號2樓","蘇素玉","02-82950772","294170.9","2775109.44","121.437889702958","25.0836052267911"
"5.931151679E9","東興藥局","五股區","新北市五股區成泰路2段69號2樓","商元貝","02-82922718","294177.55","2775122.4","121.437956024436","25.0837220466822"
"5.93115166E9","祐康藥師藥局","五股區","新北市五股區五福路36號1樓","潘素貞","02-82921335","293776.63","2775731.09","121.434000896696","25.0892289757237"
"5.931024873E9","捷元健保藥局","三重區","新北市三重區三賢街185號1樓","吳慧琍","02-82877107","299056.4","2775536.84","121.486336174425","25.0873129865052"
"5.931043234E9","康荃優生保健藥局","中和區","新北市中和區福祥路66號1樓","莊禮維","02-66348688","300405.32","2766417.66","121.499375203647","25.0049407588624"
"5.931024408E9","幸福藥妝藥局","三重區","新北市三重區正義北路342號1樓","游象淋","02-29896858","299873.6","2773714.07","121.494371388068","25.0708303392846"
"5.931023223E9","兒安藥局","三重區","新北市三重區中華路59號","林瑞雲","02-29895851","298788.04","2772760.07","121.483577347122","25.0622530803931"
"5.931023625E9","聖美膚藥局","三重區","新北市三重區正義北路130號","吳珍妮","02-29863456","300111.93","2773148.08","121.496713216335","25.0657127278376"
"5.931020473E9","天佑藥局","三重區","新北市三重區大同北路8號1樓、10號1樓","黃仁揚","02-29857456","299980.28","2772744.38","121.495393690027","25.0620724261721"
"5.931024971E9","欽勝藥局","三重區","新北市三重區重陽路4段6號2樓","吳玫瑤","02-29857389","299497.15","2773502.77","121.490632374013","25.0689350560967"
"5.931016077E9","可安藥局","板橋區","新北市板橋區南雅南路1段8-6號1樓","莊素英","02-29650131","296028.98","2766588.24","121.4560247767","25.006620031086"
"5.931161433E9","仁安藥局","泰山區","新北市泰山區明志路3段174號","廖燕男","02-29015586","292807.41","2770170.7","121.424219460356","25.0390572854767"
"5.931142723E9","健群藥局","蘆洲區","新北市蘆洲區中華街71號2樓","林文就","02-28483575","296630.09","2774788.11","121.462257406928","25.0806303461791"
"5.931112789E9","富康東科藥局","汐止區","新北市汐止區新台五路1段96號C棟1樓C15號","吳思杰","02-26969222","315399","2772659.77","121.648209839369","25.060720191016"
"5.931112636E9","佳恩藥局","汐止區","新北市汐止區民族三街7-1號1樓","陳皇珠","02-26950714","313635.88","2773726.53","121.630784633718","25.0704258251072"
"5.931091605E9","三峽文化藥局","三峽區","新北市三峽區文化路212-2號","張育維","02-26710825","287227.53","2758747.2","121.368616334537","24.9360710794374"
"5.931112609E9","健康晨光藥局","汐止區","新北市汐止區大同路2段516號1樓","郭正偉","02-26433111","313668","2772017","121.631023944208","25.0549912823232"
"5.93111269E9","國升藥局","汐止區","新北市汐止區建成路59巷1號1樓","陳瑞穗","02-26419459","316759.63","2774048.35","121.661762574954","25.0731963377446"
"5.931231234E9","逸華藥局","八里區","新北市八里區中山路2段301號","翁逸奎","02-26105093","290443.55","2782237.62","121.40114924532","25.1480629902181"
"5.931171537E9","茂晟藥局","林口區","新北市林口區文化三路2段328號1樓","王惠玲","02-26020593","288148.18","2775219.39","121.378187420674","25.0847619866754"
"5.931121411E9","長興堂藥局","瑞芳區","新北市瑞芳區明燈路3段69號1樓","蘇意雯","02-24972050","331235.62","2778002.92","121.805480939317","25.1081867365098"
"5.931281074E9","北海岸藥局","萬里區","新北市萬里區瑪鍊路98號","林均俊","02-24922022","319496.54","2785669.35","121.689479516","25.1779824055"
"5.931151615E9","陽光健保藥局","五股區","新北市五股區五福路54號1樓","蕭若男","02-22922400","293730","2775786.14","121.433540391171","25.0897272770434"
"5.931151491E9","杏軒藥局","五股區","新北市五股區貿商里自強路152號1樓","黃天佑","02-22921193","293590.09","2773636.01","121.432085279606","25.0703198926704"
"5.931023901E9","銘泰藥局","三重區","新北市三重區三和路4段153號2樓","彭雅各","02-22876452","298818.15","2774546.21","121.483939141191","25.0783772945839"
"5.931142705E9","廣英藥師藥局","蘆洲區","新北市蘆洲區中正路6號1樓","周廷潢","02-22835713","297579.25","2774928.11","121.471671286296","25.0818646680626"
"5.931024953E9","永福藥局","三重區","新北市三重區永福街135巷40號1樓","王啟昭","02-22807023","298140.74","2774416.06","121.477219477902","25.0772241037651"
"5.931111844E9","福恩藥師大藥局","汐止區","新北市汐止區福德二路171-1號1樓","賴淑媛","9.880716E8","313634.49","2773133.62","121.630743486577","25.0650732646273"
"5.931023563E9","寶貝藥局","三重區","新北市三重區仁愛街302-1號","劉桂娟","9.35512216E8","299640.05","2774666.93","121.492090851786","25.0794404047258"
"5.931014224E9","大峰藥局","板橋區","新北市板橋區莒光路168號1樓","陸明達","9.32123683E8","297842.13","2768424.47","121.474051355624","25.0231414162687"
"5.931043921E9","良安藥局","中和區","新北市中和區文元里連城路366號","鐘綉茹","9.11874828E8","298642.16","2765363.4","121.481870548678","24.9954804485439"
"5.931060315E9","文安藥局","新莊區","新北市新莊區褔壽街116號","徐志賢","02-29978477","295472.12","2769825.18","121.450614472","25.0358601299"
"5.931060431E9","武田藥局","新莊區","新北市新莊區化成路212號","楊文龍","02-29944029","296987.58","2771008.25","121.465672208947","25.0464946243992"
"5.931060468E9","達生大藥局","新莊區","新北市新莊區中港一街69號","陳映伸","02-29939360","295410.74","2770875.61","121.450040944335","25.0453453528383"
"5.931060744E9","祥好大藥局","新莊區","新北市新莊區新泰路331號","林顯祥","02-29939051","294894.03","2770481.73","121.444907345751","25.041804753438"
"5.93106052E9","再豐藥局","新莊區","新北市新莊區新泰路150巷13號","黃錦隆","02-29936092","295153.12","2770098.66","121.447462375315","25.0383387092115"
"5.93106044E9","楊氏武田藥局","新莊區","新北市新莊區化成路373-5號","楊文勝","02-29930073","296982.79","2772209.56","121.46566570262","25.0573402891094"
"5.931060726E9","新民藥局","新莊區","新北市新莊區自強街39號","施建國","02-29917773","295874.73","2771025.27","121.454644128951","25.0466824892695"
"5.931020722E9","慶昇藥局","三重區","新北市三重區光明路88號","林鴻基","02-29854256","299674.53","2772153.11","121.492341851705","25.0567446083239"
"5.931150038E9","和泰藥局","五股區","新北市五股區中興路1段133號","葉文貴","02-29850281","296964.28","2773983.79","121.465542796003","25.0733585901791"
"5.931020795E9","杜廣德藥師藥局","三重區","新北市三重區大智街53號","杜介星","02-29843152","299713.86","2773371.78","121.492775710303","25.0677453750188"
"5.931020866E9","裕福藥局","三重區","新北市三重區長壽西街144號","盧伯作","02-29831769","299832.03","2773246.53","121.493942488636","25.0666107166856"
"5.931020704E9","建芳藥局","三重區","新北市三重區集美街174號","吳雪敏","02-29763351","299480.07","2771761.2","121.490400496298","25.053212762799"
"5.931020811E9","志雄藥局","三重區","新北市三重區三和路2段220號","楊志明","02-29751803","300220.92","2773567.49","121.49780879562","25.0694954898353"
"5.931011241E9","利安藥局","板橋區","新北市板橋區南雅東路108號","林木勳","02-29696295","295772.31","2766756.64","121.453487501807","25.0081481118264"
"5.931010753E9","慶安藥局","板橋區","新北市板橋區宮口街12號","林憲一","02-29685178","296169.16","2766952.65","121.457425682099","25.0099056184452"
"5.931010744E9","啟暉藥局","板橋區","新北市板橋區大智街3號","郭村盛","02-29669166","296034.23","2767485.31","121.456106646364","25.014718638593"
"5.931010888E9","俊昌藥局","板橋區","新北市板橋區三民路2段245巷12號","洪俊杰","02-29642498","298419.86","2767247.93","121.479734507919","25.0125012323835"
"5.931011152E9","福勝堂藥局","板橋區","新北市板橋區三民路2段153巷2弄2號","林葉月珠","02-29582146","298398.39","2767511.84","121.479531007679","25.0148844611948"
"5.931040377E9","惠德藥局","中和區","新北市中和區國光街111號","葉淵源","02-29573563","297432.5","2765917.66","121.469906441031","25.0005226281218"
"5.931011107E9","安祥藥局","板橋區","新北市板橋區大明街7號","陳明鐺","02-29554501","296344.11","2766126.92","121.459131224887","25.0024455183348"
"5.931010593E9","福恩藥局","板橋區","新北市板橋區實踐路93巷36號","江添寬","02-29529126","296975.34","2766430.56","121.465395009772","25.0051674405502"
"5.931010726E9","賜您康大藥局","板橋區","新北市板橋區國泰街50號","林崇明","02-29513166","297228.91","2766598.6","121.467912885623","25.0066765714601"
"5.931040733E9","日發藥局","中和區","新北市中和區興南路2段52-4號","林錦西","02-29424926","301138.98","2764223.67","121.506562243596","24.985108746869"
"5.931040742E9","開發大藥局","中和區","新北市中和區興南路1段六號","吳清河","02-29412279","301639.67","2764936.47","121.511548392153","24.9915269959518"
"5.93104068E9","博健藥局","中和區","新北市中和區忠孝街37巷4號","湯博健","02-29402107","301612.42","2764066.68","121.511245989419","24.983675418622"
"5.931030317E9","聖英藥局","永和區","新北市永和區褔和路55-1號","江金杉","02-29293613","302528.44","2766892.13","121.52042662","25.0091521129"
"5.931030504E9","律安藥局","永和區","新北市永和區中和路321號","陳玉寬","02-29287212","301187.7","2765850.12","121.507105064438","24.9997907276332"
"5.931030639E9","家宏藥局","永和區","新北市永和區成功路2段123號","王琳慧","02-29287212","303176.52","2765709.67","121.526801852466","24.9984542652287"
"5.931160061E9","全成藥局","泰山區","新北市泰山區明志路1段83號","陳麗珠","02-29096529","293743.74","2772974.17","121.433587208752","25.0643404080531"
"5.931024855E9","閎安藥局","三重區","新北市三重區重新路2段79號1樓","羅友成","02-89942121","300076.71","2772718.07","121.496348465474","25.0618317386042"
"5.931024373E9","予康藥局","三重區","新北市三重區文化北路198號1樓","鐘偉綸","02-89858789","300237.54","2773395.7","121.497967278638","25.0679440246197"
"5.931025076E9","慈愛藥局","三重區","新北市三重區溪尾街173號1樓","邵敏蓉","02-89851330","299313.01","2774768.16","121.488852513307","25.0803649543616"
"5.931024891E9","康慈藥局","三重區","新北市三重區忠孝路2段40號1樓","梅至剛","02-89813529","298965.24","2773680.36","121.485366423385","25.0705557340571"
"5.931024668E9","景康藥局","三重區","新北市三重區集美街29號1樓","許國裕","02-89731717","299225.83","2772050.47","121.487891084612","25.0558326590429"
