"﻿""NO""",Name,District,Address,Name_Per,Telephone,twd97X,twd97Y,wgs84aX,wgs84aY
5.931015196E9,同盈藥師藥局,板橋區,新北市板橋區溪北路30號1樓,徐志忠,02-86873400,293101.81,2764761.34,121.426967957964,24.9902125620239
5.931016077E9,可安藥局,板橋區,新北市板橋區南雅南路1段8-6號1樓,莊素英,02-29650131,296028.98,2766588.24,121.4560247767,25.006620031086
5.931014224E9,大峰藥局,板橋區,新北市板橋區莒光路168號1樓,陸明達,9.32123683E8,297842.13,2768424.47,121.474051355624,25.0231414162687
5.931011241E9,利安藥局,板橋區,新北市板橋區南雅東路108號,林木勳,02-29696295,295772.31,2766756.64,121.453487501807,25.0081481118264
5.931010753E9,慶安藥局,板橋區,新北市板橋區宮口街12號,林憲一,02-29685178,296169.16,2766952.65,121.457425682099,25.0099056184452
5.931010744E9,啟暉藥局,板橋區,新北市板橋區大智街3號,郭村盛,02-29669166,296034.23,2767485.31,121.456106646364,25.014718638593
5.931010888E9,俊昌藥局,板橋區,新北市板橋區三民路2段245巷12號,洪俊杰,02-29642498,298419.86,2767247.93,121.479734507919,25.0125012323835
5.931011152E9,福勝堂藥局,板橋區,新北市板橋區三民路2段153巷2弄2號,林葉月珠,02-29582146,298398.39,2767511.84,121.479531007679,25.0148844611948
5.931011107E9,安祥藥局,板橋區,新北市板橋區大明街7號,陳明鐺,02-29554501,296344.11,2766126.92,121.459131224887,25.0024455183348
5.931010593E9,福恩藥局,板橋區,新北市板橋區實踐路93巷36號,江添寬,02-29529126,296975.34,2766430.56,121.465395009772,25.0051674405502
5.931010726E9,賜您康大藥局,板橋區,新北市板橋區國泰街50號,林崇明,02-29513166,297228.91,2766598.6,121.467912885623,25.0066765714601
5.931016577E9,廣泰藥師藥局,板橋區,新北市板橋區館前西路150號1樓,鄭敦仁,02-89698381,295984.59,2766789.41,121.455591649613,25.0084375077436
5.9310167E9,葆康藥局,板橋區,新北市板橋區四川路2段245巷3號1樓,鄭凱文,02-89678373,295491.93,2765129.26,121.450656060277,24.9934643504843
5.931015972E9,德豐健保藥局,板橋區,新北市板橋區四川路2段47巷3弄1號1樓,劉書瑋,02-89675880,295856.85,2765277.25,121.454275892657,24.9947894738772
5.931016433E9,利安社區藥局,板橋區,新北市板橋區德興街37巷14號1樓,謝思齊,02-89671550,295814.41,2765169.67,121.453851940545,24.9938195087633
5.931015776E9,亞季藥局,板橋區,新北市板橋區南雅南路2段142巷11號1樓,葉良南,02-89671131,295579.86,2765540.01,121.451540713018,24.9971700116146
5.93101696E9,愛美得藥局,板橋區,新北市板橋區中山路2段34號1樓,謝致修,02-89539190,297724.4,2767541.22,121.472854318757,25.0151711346144
5.931017083E9,和安藥局,板橋區,新北市板橋區四川路1段171號1樓,劉謹豪,02-89537548,296438.37,2766275.97,121.46007008667,25.0037882828516
5.93101599E9,名安藥局,板橋區,新北市板橋區龍興街57號1樓,卓聖偉,02-82751784,294731.67,2765977.72,121.443152400594,25.0011470474312
5.931016326E9,楓康藥局,板橋區,新北市板橋區新海路119號1樓,趙子豪,02-82582246,296523.24,2768393.08,121.460982255263,25.0228991260743
5.931014046E9,欣安藥局,板橋區,新北市板橋區懷德街109號1樓,簡素娟,02-82572535,298292.33,2769345.05,121.478544369804,25.0314381570752
